secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,0,113.667,0,4.5168,0,0,0,0,0,0,0,-427,0,-255,0,0,0,0,0,0,0,0
2,0,112.333,0,2.2584,0,0,0,0,0,0,0,-736.6,0,-255,0,0,0,0,0,0,0,0
3,0,111,0,0,0,0,0,0,0,0,0,-1293.88,0,-255,0,0,0,0,0,0,0,0
4,2.2381,111.143,0.00059,0.164914,0,0,0,0,0,0,0,-2296.98,0,-255,0,0,0,0,0,0,0,0
5,4.47619,111.286,0.00118,0.329829,0,0,0,0,0,0,0,-4102.57,0,-255,0,0,0,0,0,0,0,0
6,6.71429,111.429,0.00177,0.494743,0,0,0,0,0,0,0,-7352.63,0,-255,0,0,0,0,0,0,0,0
7,8.95238,111.571,0.00236,0.659657,0,0,0,0,0,0,0,-13202.7,0,-255,0,0,0,0,0,0,0,0
8,11.1905,111.714,0.00295,0.824571,0,0,0,0,0,0,0,-23732.9,0,-255,0,0,0,0,0,0,0,0
9,13.4286,111.857,0.00354,0.989486,0,0,0,0,0,0,0,-42687.2,0,-255,0,0,0,0,0,0,0,0
10,15.6667,112,0.00413,1.1544,0,0,0,0,0,0,0,-76805,0,-255,0,0,0,0,0,0,0,0
11,17.9048,112.143,0.00472,1.31931,0,0,0,0,0,0,0,-138217,0,-255,0,0,0,0,0,0,0,0
12,20.1429,112.286,0.00531,1.48423,0,0,0,0,0,0,0,-248759,0,-255,0,0,0,0,0,0,0,0
13,22.381,112.429,0.0059,1.64914,0,0,0,0,0,0,0,-447734,0,-255,0,0,0,0,0,0,0,0
14,24.619,112.571,0.00649,1.81406,0,0,0,0,0,0,0,-805888,0,-255,0,0,0,0,0,0,0,0
15,26.8571,112.714,0.00708,1.97897,0,0,0,0,0,0,0,-1.45057e+06,0,-255,0,0,0,0,0,0,0,0
16,29.0952,112.857,0.00767,2.14389,0,0,0,0,0,0,0,-2.61099e+06,0,-255,0,0,0,0,0,0,0,0
17,31.3333,113,0.00826,2.3088,0,0,0,0,0,0,0,-4.69975e+06,0,-255,0,0,0,0,0,0,0,0
18,33.5714,113.143,0.00885,2.47371,0,0,0,0,0,0,0,-8.45951e+06,0,-255,0,0,0,0,0,0,0,0
19,35.8095,113.286,0.00944,2.63863,0,0,0,0,0,0,0,-1.52271e+07,0,-255,0,0,0,0,0,0,0,0
20,38.0476,113.429,0.01003,2.80354,0,0,0,0,0,0,0,-2.74087e+07,0,-255,0,0,0,0,0,0,0,0
21,40.2857,113.571,0.01062,2.96846,0,0,0,0,0,0,0,-4.93357e+07,0,-255,0,0,0,0,0,0,0,0
22,42.5238,113.714,0.01121,3.13337,0,0,0,0,0,0,0,-8.88042e+07,0,-255,0,0,0,0,0,0,0,0
23,44.7619,113.857,0.0118,3.29829,0,0,0,0,0,0,0,-1.59848e+08,0,-255,0,0,0,0,0,0,0,0
24,47,114,0.01239,3.4632,0,0,0,0,0,0,0,-2.87726e+08,0,-255,0,0,0,0,0,0,0,0
25,47.5,114.25,0.0134942,3.5286,0,0,0,0,0,0,0,-5.17906e+08,0,-255,0,0,0,0,0,0,0,0
26,48,114.5,0.0145983,3.594,0,0,0,0,0,0,0,-9.3223e+08,0,-255,0,0,0,0,0,0,0,0
